API,Formation,Formation Top MD,Formation Top TVD
42301358920000,BELL CANYON,3888,3888
42301358920000,DELAWARE,3888,3888
42301358920000,CHERRY CANYON,4847,4847
42301358920000,BRUSHY CANYON,6190,6190
42301358920000,WOLFCAMP,10939,10883
42301358920000,BONE SPRING,7811,7811
42301358910000,BONE SPRING,7816,7816
42301358910000,WOLFCAMP,10945,10891
42301358910000,DELAWARE,3893,3893
42301358910000,CHERRY CANYON,4852,4852
42301358910000,BRUSHY CANYON,6195,6195
42301358910000,BELL CANYON,3893,3893
42301358890000,BONE SPRING,7904,7904
42301358890000,WOLFCAMP,11030,10982
42301358890000,DELAWARE,3995,3995
42301358890000,CHERRY CANYON,4954,4954
42301358890000,BRUSHY CANYON,6295,6295
42301358890000,BELL CANYON,3995,3995
42301358880000,BONE SPRING,7894,7894
42301358880000,WOLFCAMP,10990,10973
42301358880000,DELAWARE,3985,3985
42301358880000,CHERRY CANYON,4944,4944
42301358880000,BRUSHY CANYON,6285,6285
42301358880000,BELL CANYON,3985,3985
42301353480000,CHERRY CANYON,5082,5082
42301353480000,WOLFCAMP,12026,11954
42301353480000,DELAWARE,4139,4139
42301353480000,BRUSHY CANYON,6497,6497
42301353480000,BONE SPRING,9011,9011
42301353480000,BELL CANYON,4139,4139
42301353500000,BELL CANYON,4132,4132
42301353500000,WOLFCAMP,11085,11085
42301353500000,DELAWARE,4132,4132
42301353500000,CHERRY CANYON,5073,5073
42301353500000,BRUSHY CANYON,6488,6488
42301353500000,BONE SPRING,8998,8998
42301353490000,BONE SPRING,9008,9008
42301353490000,WOLFCAMP,11143,11090
42301353490000,DELAWARE,4142,4142
42301353490000,CHERRY CANYON,5087,5087
42301353490000,BRUSHY CANYON,6499,6499
42301353490000,BELL CANYON,4142,4142
42301353470000,BONE SPRING,9013,9013
42301353470000,WOLFCAMP,11711,11582
42301353470000,DELAWARE,4141,4141
42301353470000,CHERRY CANYON,5084,5084
42301353470000,BRUSHY CANYON,6499,6499
42301353470000,BELL CANYON,4141,4141
42301351690000,BELL CANYON,,3905
42301351690000,WOLFCAMP,,10877
42301351690000,BRUSHY CANYON,,6112
42301351690000,DELAWARE,,3881
42301351690000,CHERRY CANYON,,4867
42301351690000,BONE SPRING,,7869
42301351710000,BONE SPRING,,7871
42301351710000,BRUSHY CANYON,,6097
42301351710000,CHERRY CANYON,,4862
42301351710000,DELAWARE,,3879
42301351710000,BELL CANYON,,3901
42301351640000,BRUSHY CANYON,,6076
42301351640000,DELAWARE,,3861
42301351640000,BONE SPRING,,7853
42301351640000,BELL CANYON,,3887
42301351640000,CHERRY CANYON,,4848
42301351640000,WOLFCAMP,,10858
42301351480000,CHERRY CANYON,4871,4809
42301351480000,BRUSHY CANYON,6084,6021
42301351480000,BELL CANYON,3888,3838
42301351480000,DELAWARE,3861,3812
42301351480000,BONE SPRING,7839,7777
42301351480000,WOLFCAMP,10907,10836
42301351430000,WOLFCAMP,10954,10830
42301351430000,CHERRY CANYON,4871,4794
42301351430000,DELAWARE,3853,3800
42301351430000,BRUSHY CANYON,6102,6020
42301351430000,BELL CANYON,3881,3828
42301351430000,BONE SPRING,7855,7773
42301349830000,CHERRY CANYON,,4975
42301349830000,DELAWARE,,4045
42301349830000,BONE SPRING,,7917
42301349830000,WOLFCAMP,,11496
42301349830000,BELL CANYON,,4045
42301349830000,BRUSHY CANYON,,6449
42301349820000,WOLFCAMP,,11208
42301349820000,BRUSHY CANYON,,6455
42301349820000,CHERRY CANYON,,4892
42301349820000,DELAWARE,,4052
42301349820000,BELL CANYON,,4052
42301349820000,BONE SPRING,,7923
42301349810000,BELL CANYON,,4058
42301349810000,BRUSHY CANYON,,6462
42301349810000,WOLFCAMP,,11528
42301349810000,BONE SPRING,,7930
42301349810000,CHERRY CANYON,,4988
42301349810000,DELAWARE,,4058
42301349800000,BRUSHY CANYON,,6467
42301349800000,BONE SPRING,,7942
42301349800000,CHERRY CANYON,,5042
42301349800000,DELAWARE,,4048
42301349800000,BELL CANYON,,4048
42301349800000,WOLFCAMP,,10884
42301349680000,DELAWARE,,4048
42301349680000,CHERRY CANYON,,5040
42301349680000,BONE SPRING,,7940
42301349680000,WOLFCAMP,,11233
42301349680000,BRUSHY CANYON,,6465
42301349680000,BELL CANYON,,4048
42301348970000,BONE SPRINGS,8795,8685
42301348970000,DELAWARE,3805,3747
42301348970000,BELL CANYON,3833,3774
42301348970000,CHERRY CANYON,4850,4754
42301348970000,BRUSHY CANYON,6071,5961
42301348970000,WOLFCAMP,10864,10751
42301348900000,BRUSHY CANYON,5982,5961
42301348900000,DELAWARE,3764,3720
42301348900000,BELL CANYON,3789,3745
42301348900000,WOLFCAMP,10785,10739
42301348900000,BONE SPRINGS,8725,8680
42301348900000,CHERRY CANYON,4787,4742
42301345920000,BELL CANYON,4106,4106
42301345920000,CHERRY CANYON,5046,5046
42301345920000,WOLFCAMP,11071,11071
42301345920000,BONE SPRINGS,8990,8990
42301345920000,DELAWARE,4106,4106
42301345920000,BRUSHY CANYON,6443,6443
42301345870000,CHERRY CANYON,5027,5027
42301345870000,BELL CANYON,4087,4087
42301345870000,DELAWARE,4087,4087
42301345870000,BONE SPRINGS,8971,8971
42301345870000,WOLFCAMP,11154,11052
42301345870000,BRUSHY CANYON,6424,6424
42301345900000,BONE SPRINGS,8923,8923
42301345900000,CHERRY CANYON,4847,4847
42301345900000,WOLFCAMP,11275,11275
42301345900000,BRUSHY CANYON,6270,6270
42301345900000,BELL CANYON,3937,3937
42301345900000,DELAWARE,3937,3937
42301345890000,CHERRY CANYON,5041,5041
42301345890000,DELAWARE,4101,4101
42301345890000,BELL CANYON,4101,4101
42301345890000,WOLFCAMP,11200,11200
42301345890000,BRUSHY CANYON,6438,6438
42301345890000,BONE SPRINGS,8985,8985
42301345910000,BONE SPRINGS,8987,8987
42301345910000,WOLFCAMP,11068,11068
42301345910000,CHERRY CANYON,5043,5043
42301345910000,BRUSHY CANYON,6440,6440
42301345910000,BELL CANYON,4103,4103
42301345910000,DELAWARE,4103,4103
42301345930000,BELL CANYON,4111,4111
42301345930000,WOLFCAMP,11076,11076
42301345930000,DELAWARE,4111,4111
42301345930000,CHERRY CANYON,5051,5051
42301345930000,BRUSHY CANYON,6448,6448
42301345930000,BONE SPRINGS,8995,8995
42301345880000,WOLFCAMP,11238,11238
42301345880000,BRUSHY CANYON,6429,6429
42301345880000,BELL CANYON,4092,4092
42301345880000,CHERRY CANYON,5032,5032
42301345880000,DELAWARE,4092,4092
42301345880000,BONE SPRINGS,8976,8976
42301340920000,CHERRY CANYON,5001,5001
42301340920000,DELAWARE,4051,4051
42301340920000,BRUSHY CANYON,6351,6351
42301340920000,BONE SPRINGS,7971,7971
42301340920000,WOLFCAMP,11141,11009
