API,Formation,Formation Top MD,Formation Top TVD,Latitude,Longitude
423013589200,BELL CANYON,3888,3888,31.7951522,-103.736787
423013589200,DELAWARE,3888,3888,31.7951522,-103.736787
423013589200,CHERRY CANYON,4847,4847,31.7951522,-103.736787
423013589200,BRUSHY CANYON,6190,6190,31.7951522,-103.736787
423013589200,WOLFCAMP,10939,10883,31.7951522,-103.736787
423013589200,BONE SPRING,7811,7811,31.7951522,-103.736787
423013589100,BONE SPRING,7816,7816,31.7951521,-103.7367221
423013589100,WOLFCAMP,10945,10891,31.7951521,-103.7367221
423013589100,DELAWARE,3893,3893,31.7951521,-103.7367221
423013589100,CHERRY CANYON,4852,4852,31.7951521,-103.7367221
423013589100,BRUSHY CANYON,6195,6195,31.7951521,-103.7367221
423013589100,BELL CANYON,3893,3893,31.7951521,-103.7367221
423013588900,BONE SPRING,7904,7904,31.8099389,-103.7311124
423013588900,WOLFCAMP,11030,10982,31.8099389,-103.7311124
423013588900,DELAWARE,3995,3995,31.8099389,-103.7311124
423013588900,CHERRY CANYON,4954,4954,31.8099389,-103.7311124
423013588900,BRUSHY CANYON,6295,6295,31.8099389,-103.7311124
423013588900,BELL CANYON,3995,3995,31.8099389,-103.7311124
423013588800,BONE SPRING,7894,7894,31.80994,-103.7311769
423013588800,WOLFCAMP,10990,10973,31.80994,-103.7311769
423013588800,DELAWARE,3985,3985,31.80994,-103.7311769
423013588800,CHERRY CANYON,4944,4944,31.80994,-103.7311769
423013588800,BRUSHY CANYON,6285,6285,31.80994,-103.7311769
423013588800,BELL CANYON,3985,3985,31.80994,-103.7311769
423013534800,CHERRY CANYON,5082,5082,31.8267602,-103.7107469
423013534800,WOLFCAMP,12026,11954,31.8267602,-103.7107469
423013534800,DELAWARE,4139,4139,31.8267602,-103.7107469
423013534800,BRUSHY CANYON,6497,6497,31.8267602,-103.7107469
423013534800,BONE SPRING,9011,9011,31.8267602,-103.7107469
423013534800,BELL CANYON,4139,4139,31.8267602,-103.7107469
423013535000,BELL CANYON,4132,4132,31.826732,-103.711014
423013535000,WOLFCAMP,11085,11085,31.826732,-103.711014
423013535000,DELAWARE,4132,4132,31.826732,-103.711014
423013535000,CHERRY CANYON,5073,5073,31.826732,-103.711014
423013535000,BRUSHY CANYON,6488,6488,31.826732,-103.711014
423013535000,BONE SPRING,8998,8998,31.826732,-103.711014
423013534900,BONE SPRING,9008,9008,31.826707,-103.710935
423013534900,WOLFCAMP,11143,11090,31.826707,-103.710935
423013534900,DELAWARE,4142,4142,31.826707,-103.710935
423013534900,CHERRY CANYON,5087,5087,31.826707,-103.710935
423013534900,BRUSHY CANYON,6499,6499,31.826707,-103.710935
423013534900,BELL CANYON,4142,4142,31.826707,-103.710935
423013534700,BONE SPRING,9013,9013,31.82666,-103.710693
423013534700,WOLFCAMP,11711,11582,31.82666,-103.710693
423013534700,DELAWARE,4141,4141,31.82666,-103.710693
423013534700,CHERRY CANYON,5084,5084,31.82666,-103.710693
423013534700,BRUSHY CANYON,6499,6499,31.82666,-103.710693
423013534700,BELL CANYON,4141,4141,31.82666,-103.710693
423013516900,BELL CANYON,,3905,31.841582,-103.758609
423013516900,WOLFCAMP,,10877,31.841582,-103.758609
423013516900,BRUSHY CANYON,,6112,31.841582,-103.758609
423013516900,DELAWARE,,3881,31.841582,-103.758609
423013516900,CHERRY CANYON,,4867,31.841582,-103.758609
423013516900,BONE SPRING,,7869,31.841582,-103.758609
423013517100,BONE SPRING,,7871,31.841582,-103.758705
423013517100,BRUSHY CANYON,,6097,31.841582,-103.758705
423013517100,CHERRY CANYON,,4862,31.841582,-103.758705
423013517100,DELAWARE,,3879,31.841582,-103.758705
423013517100,BELL CANYON,,3901,31.841582,-103.758705
423013516400,BRUSHY CANYON,,6076,31.841582,-103.758802
423013516400,DELAWARE,,3861,31.841582,-103.758802
423013516400,BONE SPRING,,7853,31.841582,-103.758802
423013516400,BELL CANYON,,3887,31.841582,-103.758802
423013516400,CHERRY CANYON,,4848,31.841582,-103.758802
423013516400,WOLFCAMP,,10858,31.841582,-103.758802
423013514800,CHERRY CANYON,4871,4809,31.8124412,-103.7579167
423013514800,BRUSHY CANYON,6084,6021,31.8124412,-103.7579167
423013514800,BELL CANYON,3888,3838,31.8124412,-103.7579167
423013514800,DELAWARE,3861,3812,31.8124412,-103.7579167
423013514800,BONE SPRING,7839,7777,31.8124412,-103.7579167
423013514800,WOLFCAMP,10907,10836,31.8124412,-103.7579167
423013514300,WOLFCAMP,10954,10830,31.81246,-103.758028
423013514300,CHERRY CANYON,4871,4794,31.81246,-103.758028
423013514300,DELAWARE,3853,3800,31.81246,-103.758028
423013514300,BRUSHY CANYON,6102,6020,31.81246,-103.758028
423013514300,BELL CANYON,3881,3828,31.81246,-103.758028
423013514300,BONE SPRING,7855,7773,31.81246,-103.758028
423013498300,CHERRY CANYON,,4975,31.811101,-103.7256
423013498300,DELAWARE,,4045,31.811101,-103.7256
423013498300,BONE SPRING,,7917,31.811101,-103.7256
423013498300,WOLFCAMP,,11496,31.811101,-103.7256
423013498300,BELL CANYON,,4045,31.811101,-103.7256
423013498300,BRUSHY CANYON,,6449,31.811101,-103.7256
423013498200,WOLFCAMP,,11208,31.811101,-103.725494
423013498200,BRUSHY CANYON,,6455,31.811101,-103.725494
423013498200,CHERRY CANYON,,4892,31.811101,-103.725494
423013498200,DELAWARE,,4052,31.811101,-103.725494
423013498200,BELL CANYON,,4052,31.811101,-103.725494
423013498200,BONE SPRING,,7923,31.811101,-103.725494
423013498100,BELL CANYON,,4058,31.811101,-103.725387
423013498100,BRUSHY CANYON,,6462,31.811101,-103.725387
423013498100,WOLFCAMP,,11528,31.811101,-103.725387
423013498100,BONE SPRING,,7930,31.811101,-103.725387
423013498100,CHERRY CANYON,,4988,31.811101,-103.725387
423013498100,DELAWARE,,4058,31.811101,-103.725387
423013498000,BRUSHY CANYON,,6467,31.809888,-103.722114
423013498000,BONE SPRING,,7942,31.809888,-103.722114
423013498000,CHERRY CANYON,,5042,31.809888,-103.722114
423013498000,DELAWARE,,4048,31.809888,-103.722114
423013498000,BELL CANYON,,4048,31.809888,-103.722114
423013498000,WOLFCAMP,,10884,31.809888,-103.722114
423013496800,DELAWARE,,4048,31.809893,-103.721901
423013496800,CHERRY CANYON,,5040,31.809893,-103.721901
423013496800,BONE SPRING,,7940,31.809893,-103.721901
423013496800,WOLFCAMP,,11233,31.809893,-103.721901
423013496800,BRUSHY CANYON,,6465,31.809893,-103.721901
423013496800,BELL CANYON,,4048,31.809893,-103.721901
423013489700,BONE SPRINGS,8795,8685,31.838732,-103.765518
423013489700,DELAWARE,3805,3747,31.838732,-103.765518
423013489700,BELL CANYON,3833,3774,31.838732,-103.765518
423013489700,CHERRY CANYON,4850,4754,31.838732,-103.765518
423013489700,BRUSHY CANYON,6071,5961,31.838732,-103.765518
423013489700,WOLFCAMP,10864,10751,31.838732,-103.765518
423013489000,BRUSHY CANYON,5982,5961,31.83873,-103.765615
423013489000,DELAWARE,3764,3720,31.83873,-103.765615
423013489000,BELL CANYON,3789,3745,31.83873,-103.765615
423013489000,WOLFCAMP,10785,10739,31.83873,-103.765615
423013489000,BONE SPRINGS,8725,8680,31.83873,-103.765615
423013489000,CHERRY CANYON,4787,4742,31.83873,-103.765615
423013459200,BELL CANYON,4106,4106,31.825848,-103.706919
423013459200,CHERRY CANYON,5046,5046,31.825848,-103.706919
423013459200,WOLFCAMP,11071,11071,31.825848,-103.706919
423013459200,BONE SPRINGS,8990,8990,31.825848,-103.706919
423013459200,DELAWARE,4106,4106,31.825848,-103.706919
423013459200,BRUSHY CANYON,6443,6443,31.825848,-103.706919
423013458700,CHERRY CANYON,5027,5027,31.82589,-103.71612
423013458700,BELL CANYON,4087,4087,31.82589,-103.71612
423013458700,DELAWARE,4087,4087,31.82589,-103.71612
423013458700,BONE SPRINGS,8971,8971,31.82589,-103.71612
423013458700,WOLFCAMP,11154,11052,31.82589,-103.71612
423013458700,BRUSHY CANYON,6424,6424,31.82589,-103.71612
423013459000,BONE SPRINGS,8923,8923,31.825633,-103.707257
423013459000,CHERRY CANYON,4847,4847,31.825633,-103.707257
423013459000,WOLFCAMP,11275,11275,31.825633,-103.707257
423013459000,BRUSHY CANYON,6270,6270,31.825633,-103.707257
423013459000,BELL CANYON,3937,3937,31.825633,-103.707257
423013459000,DELAWARE,3937,3937,31.825633,-103.707257
423013458900,CHERRY CANYON,5041,5041,31.825871,-103.715893
423013458900,DELAWARE,4101,4101,31.825871,-103.715893
423013458900,BELL CANYON,4101,4101,31.825871,-103.715893
423013458900,WOLFCAMP,11200,11200,31.825871,-103.715893
423013458900,BRUSHY CANYON,6438,6438,31.825871,-103.715893
423013458900,BONE SPRINGS,8985,8985,31.825871,-103.715893
423013459100,BONE SPRINGS,8987,8987,31.825687,-103.707172
423013459100,WOLFCAMP,11068,11068,31.825687,-103.707172
423013459100,CHERRY CANYON,5043,5043,31.825687,-103.707172
423013459100,BRUSHY CANYON,6440,6440,31.825687,-103.707172
423013459100,BELL CANYON,4103,4103,31.825687,-103.707172
423013459100,DELAWARE,4103,4103,31.825687,-103.707172
423013459300,BELL CANYON,4111,4111,31.825794,-103.707004
423013459300,WOLFCAMP,11076,11076,31.825794,-103.707004
423013459300,DELAWARE,4111,4111,31.825794,-103.707004
423013459300,CHERRY CANYON,5051,5051,31.825794,-103.707004
423013459300,BRUSHY CANYON,6448,6448,31.825794,-103.707004
423013459300,BONE SPRINGS,8995,8995,31.825794,-103.707004
423013458800,WOLFCAMP,11238,11238,31.82589,-103.716013
423013458800,BRUSHY CANYON,6429,6429,31.82589,-103.716013
423013458800,BELL CANYON,4092,4092,31.82589,-103.716013
423013458800,CHERRY CANYON,5032,5032,31.82589,-103.716013
423013458800,DELAWARE,4092,4092,31.82589,-103.716013
423013458800,BONE SPRINGS,8976,8976,31.82589,-103.716013
423013409200,CHERRY CANYON,5001,5001,31.811174,-103.723242
423013409200,DELAWARE,4051,4051,31.811174,-103.723242
423013409200,BRUSHY CANYON,6351,6351,31.811174,-103.723242
423013409200,BONE SPRINGS,7971,7971,31.811174,-103.723242
423013409200,WOLFCAMP,11141,11009,31.811174,-103.723242
423013409200,BELL CANYON,4051,4051,31.811174,-103.723242
423013408600,CHERRY CANYON,4925,4925,31.81204,-103.735012
423013408600,BELL CANYON,3959,3959,31.81204,-103.735012
423013408600,BONE SPRINGS,7884,7884,31.81204,-103.735012
423013408600,BRUSHY CANYON,6266,6266,31.81204,-103.735012
423013408600,DELAWARE,3959,3959,31.81204,-103.735012
423013408600,WOLFCAMP,11058,10950,31.81204,-103.735012
423013409000,CHERRY CANYON,4861,4861,31.8111701,-103.7288248
423013409000,BELL CANYON,3951,3951,31.8111701,-103.7288248
423013409000,BONE SPRINGS,7921,7921,31.8111701,-103.7288248
423013409000,WOLFCAMP,11063,10971,31.8111701,-103.7288248
423013409000,BRUSHY CANYON,6284,6284,31.8111701,-103.7288248
423013409000,DELAWARE,3951,3951,31.8111701,-103.7288248
423013409100,DELAWARE,4061,4061,31.8111538,-103.7233329
423013409100,WOLFCAMP,11053,11019,31.8111538,-103.7233329
423013409100,BONE SPRINGS,7981,7981,31.8111538,-103.7233329
423013409100,BELL CANYON,4061,4061,31.8111538,-103.7233329
