API Number,True Vertical Depth,Longitude,Latitude,BO/ft,MCF/ft,BOE/ft
423013597600,10521.99,-103.6866773,31.8248782,22,40,63
423013597600,10612.93,-103.6866876,31.8248754,22,40,63
423013597600,10702.86,-103.6866978,31.824873,22,40,63
423013597600,10803.81,-103.6867077,31.8248702,22,40,63
423013597600,10894.77,-103.6867155,31.8248671,22,40,63
423013597600,10984.74,-103.6867225,31.8248636,22,40,63
423013597600,11074.71,-103.6867284,31.8248595,22,40,63
423013597600,11165.68,-103.6867335,31.8248552,22,40,63
423013597600,11257.39,-103.6867353,31.8248369,22,40,63
423013597600,11344.49,-103.6867239,31.8247778,22,40,63
423013597600,11426.13,-103.6867105,31.8246687,22,40,63
423013597600,11499.24,-103.6866981,31.8245207,22,40,63
423013597600,11561.89,-103.6866873,31.8243436,22,40,63
423013597600,11613.79,-103.6866904,31.8241418,22,40,63
423013597600,11654.88,-103.6866993,31.8239188,22,40,63
423013597600,11685.78,-103.6867109,31.8236867,22,40,63
423013597600,11707.34,-103.686722,31.8234439,22,40,63
423013597600,11718.49,-103.6867278,31.8231985,22,40,63
423013597600,11723.31,-103.6867304,31.8229487,22,40,63
423013597600,11726.97,-103.6867279,31.8227014,22,40,63
423013597600,11730.21,-103.686722,31.8224541,22,40,63
423013597600,11730.08,-103.6867212,31.8222039,22,40,63
423013597600,11727.46,-103.6867264,31.8219565,22,40,63
423013597600,11726.34,-103.6867283,31.8217063,22,40,63
423013597600,11726.48,-103.6867331,31.8214589,22,40,63
423013597600,11728.37,-103.6867439,31.8212089,22,40,63
423013597600,11733.13,-103.6867507,31.8209618,22,40,63
423013597600,11737.25,-103.6867584,31.8207119,22,40,63
423013597600,11739.33,-103.6867719,31.8204648,22,40,63
423013597600,11739.75,-103.6867857,31.8202148,22,40,63
423013597600,11739.2,-103.6868013,31.8199677,22,40,63
423013597600,11738.15,-103.6868221,31.8197181,22,40,63
423013597600,11735.8,-103.6868471,31.8194716,22,40,63
423013597600,11735.32,-103.6868632,31.8192246,22,40,63
423013597600,11738.12,-103.6868671,31.8189745,22,40,63
423013597600,11741.54,-103.6868656,31.8187244,22,40,63
423013597600,11742.65,-103.6868628,31.818477,22,40,63
423013597600,11740.92,-103.6868582,31.8182296,22,40,63
423013597600,11737.35,-103.6868565,31.8179796,22,40,63
423013597600,11734,-103.6868644,31.8177296,22,40,63
423013597600,11732.14,-103.6868712,31.8174822,22,40,63
423013597600,11730.61,-103.686874,31.817232,22,40,63
423013597600,11728.68,-103.6868739,31.8169846,22,40,63
423013597600,11726.02,-103.6868733,31.8167344,22,40,63
423013597600,11723.13,-103.6868723,31.8164871,22,40,63
423013597600,11721.38,-103.6868718,31.8162369,22,40,63
423013597600,11720.89,-103.686869,31.8159894,22,40,63
423013597600,11719.5,-103.686863,31.8157392,22,40,63
423013597600,11719.36,-103.6868609,31.8154918,22,40,63
423013597600,11720.89,-103.6868668,31.8152444,22,40,63
423013597600,11722.84,-103.6868752,31.8149943,22,40,63
423013597600,11726.15,-103.6868798,31.814747,22,40,63
423013597600,11730.9,-103.6868819,31.8144971,22,40,63
423013597600,11736.01,-103.6868862,31.81425,22,40,63
423013597600,11738.32,-103.6868939,31.8139999,22,40,63
423013597600,11738.74,-103.6869052,31.8137526,22,40,63
423013597600,11737.41,-103.686914,31.8135026,22,40,63
423013597600,11734.17,-103.6869159,31.8132552,22,40,63
423013597600,11731.31,-103.6869135,31.8130051,22,40,63
423013597600,11728.48,-103.6869098,31.8127578,22,40,63
423013597600,11726.13,-103.686905,31.8125104,22,40,63
423013597600,11723.55,-103.6868984,31.8122603,22,40,63
423013597600,11722.18,-103.6869018,31.8120129,22,40,63
423013597600,11724.77,-103.6869152,31.8117631,22,40,63
423013597600,11728.5,-103.6869248,31.8115159,22,40,63
423013597600,11730.22,-103.6869322,31.8112685,22,40,63
423013597600,11731.07,-103.6869413,31.8110184,22,40,63
423013597600,11732.72,-103.6869499,31.8107711,22,40,63
423013597600,11735.51,-103.6869585,31.8105211,22,40,63
423013597600,11736.61,-103.686962,31.8102736,22,40,63
423013597600,11735.7,-103.6869562,31.8100235,22,40,63
423013597600,11732.37,-103.6869475,31.8097763,22,40,63
423013597600,11728.16,-103.6869454,31.8095291,22,40,63
423013597600,11724.67,-103.6869526,31.8092791,22,40,63
423013597600,11720.17,-103.6869636,31.8090321,22,40,63
