API Number,True Vertical Depth,Longitude,Latitude,BO/ft,MCF/ft,BOE/ft
423013597600,0,-103.6880961,31.8244584,22,40,63
423013597600,199,-103.6880968,31.8244559,22,40,63
423013597600,290.99,-103.688096,31.8244527,22,40,63
423013597600,383.96,-103.6880919,31.8244481,22,40,63
423013597600,475.92,-103.6880843,31.8244436,22,40,63
423013597600,567.86,-103.6880749,31.8244403,22,40,63
423013597600,659.81,-103.6880652,31.8244383,22,40,63
423013597600,752.76,-103.6880558,31.8244365,22,40,63
423013597600,842.73,-103.6880481,31.8244347,22,40,63
423013597600,933.7,-103.6880404,31.8244332,22,40,63
423013597600,1023.65,-103.688031,31.8244319,22,40,63
423013597600,1114.6,-103.6880212,31.8244317,22,40,63
423013597600,1154.58,-103.6880174,31.8244319,22,40,63
423013597600,1233.55,-103.68801,31.8244321,22,40,63
423013597600,1414.45,-103.6879916,31.8244286,22,40,63
423013597600,1505.38,-103.6879816,31.8244239,22,40,63
423013597600,1595.29,-103.6879712,31.8244171,22,40,63
423013597600,1686.16,-103.6879602,31.8244075,22,40,63
423013597600,1776.07,-103.6879499,31.8244024,22,40,63
423013597600,1866.99,-103.68794,31.8244078,22,40,63
423013597600,1956.86,-103.6879305,31.8244185,22,40,63
423013597600,2046.64,-103.6879176,31.8244315,22,40,63
423013597600,2137.34,-103.6878979,31.8244426,22,40,63
423013597600,2227.03,-103.6878762,31.8244512,22,40,63
423013597600,2317.67,-103.6878547,31.8244639,22,40,63
423013597600,2407.26,-103.6878355,31.8244808,22,40,63
423013597600,2497.77,-103.6878162,31.8245007,22,40,63
423013597600,2588.18,-103.6877935,31.8245217,22,40,63
423013597600,2677.64,-103.6877718,31.8245411,22,40,63
423013597600,2768.24,-103.6877545,31.8245595,22,40,63
423013597600,2857.63,-103.6877347,31.8245823,22,40,63
423013597600,2947.68,-103.6877063,31.824609,22,40,63
423013597600,3036.53,-103.68767,31.8246333,22,40,63
423013597600,3126.28,-103.6876299,31.8246563,22,40,63
423013597600,3215.22,-103.6875928,31.8246771,22,40,63
423013597600,3305.37,-103.6875594,31.8246957,22,40,63
