API_UWI,WellID,StationNumber,CoordinateSource,MeasuredDepth_FT,Inclination_DEG,Azimuth_DEG,Course_FT,TVD_FT,VerticalSection_FT,N_S,E_W,Closure_FT,DogLegSeverity_DEGPer100FT,Latitude,Longitude,GridY_FT,GridX_FT,SubseaElevation_FT
4230132757,840420000625705,0,ACTUAL,0,0,358.25,0,0,,0,0,,0,31.88435,103.73923,11575821.02,2031628.24,2967
4230132757,840420000625705,1,ACTUAL,179,0.4,29.05,0,179,,0.55,0.3,,0.22,31.88435,103.73923,11575821.57,2031628.53,2788
4230132757,840420000625705,2,ACTUAL,242,0.6,75.85,0,242,,0.82,0.73,,0.69,31.88435,103.73922,11575821.85,2031628.96,2725
4230132757,840420000625705,3,ACTUAL,337,0.8,105.65,0,337,,0.76,1.85,,0.43,31.88435,103.73922,11575821.81,2031630.08,2630
4230132757,840420000625705,4,ACTUAL,428,0.7,90.75,0,428,,0.58,3.02,,0.24,31.88435,103.73922,11575821.64,2031631.25,2539
4230132757,840420000625705,5,ACTUAL,519,0.7,85.45,0,519,,0.62,4.13,,0.07,31.88435,103.73921,11575821.69,2031632.36,2448
4230132757,840420000625705,6,ACTUAL,611,0.6,79.35,0,611,,0.75,5.16,,0.13,31.88435,103.73921,11575821.84,2031633.39,2356
4230132757,840420000625705,7,ACTUAL,703,0.7,70.85,0,703,,1.03,6.17,,0.15,31.88435,103.73921,11575822.12,2031634.39,2264
4230132757,840420000625705,8,ACTUAL,795,1,74.25,0,795,,1.43,7.47,,0.33,31.88436,103.7392,11575822.54,2031635.69,2172
4230132757,840420000625705,9,ACTUAL,886,0.8,63.05,0,886,,1.93,8.8,,0.29,31.88436,103.7392,11575823.06,2031637.01,2081
4230132757,840420000625705,10,ACTUAL,979,0.7,58.35,0,979,,2.53,9.86,,0.13,31.88436,103.7392,11575823.66,2031638.07,1988
4230132757,840420000625705,11,ACTUAL,1071,0.8,43.65,0,1071,,3.28,10.78,,0.23,31.88436,103.73919,11575824.43,2031638.98,1896
4230132757,840420000625705,12,ACTUAL,1164,1.1,29.05,0,1164,,4.53,11.67,,0.41,31.88436,103.73919,11575825.69,2031639.85,1803
4230132757,840420000625705,13,ACTUAL,1256,0.9,21.45,0,1256,,5.98,12.36,,0.26,31.88437,103.73919,11575827.14,2031640.52,1711
4230132757,840420000625705,14,ACTUAL,1348,1,13.35,0,1348,,7.43,12.81,,0.18,31.88437,103.73919,11575828.6,2031640.95,1619
4230132757,840420000625705,15,ACTUAL,1441,1,12.05,0,1441,,9.02,13.17,,0.02,31.88438,103.73918,11575830.19,2031641.29,1526
