API Number,True Vertical Depth,Latitude,Longitude,BO/ft,GOR,WOR,FirstProdDate,,,
4230132757,0,31.88435,103.73923,#N/A,#N/A,#N/A,#N/A,,,
4230132757,179,31.88435,103.73923,#N/A,#N/A,#N/A,#N/A,,,
4230132757,242,31.88435,103.73922,#N/A,#N/A,#N/A,#N/A,,,
4230132757,337,31.88435,103.73922,#N/A,#N/A,#N/A,#N/A,,,
4230132757,428,31.88435,103.73922,#N/A,#N/A,#N/A,#N/A,,,
4230132757,519,31.88435,103.73921,#N/A,#N/A,#N/A,#N/A,,,
4230132757,611,31.88435,103.73921,#N/A,#N/A,#N/A,#N/A,,,
4230132757,703,31.88435,103.73921,#N/A,#N/A,#N/A,#N/A,,,
4230132757,795,31.88436,103.7392,#N/A,#N/A,#N/A,#N/A,,,
4230132757,886,31.88436,103.7392,#N/A,#N/A,#N/A,#N/A,,,
4230132757,979,31.88436,103.7392,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1071,31.88436,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1164,31.88436,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1256,31.88437,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1348,31.88437,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1441,31.88438,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1472,31.88438,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1626,31.88438,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1718,31.88439,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1810,31.88439,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1901,31.88439,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,1993,31.88439,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2084,31.88439,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2176,31.8844,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2268,31.8844,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2359,31.8844,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2452,31.88441,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2544,31.88441,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2636,31.88441,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2729,31.88442,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2821,31.88442,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,2913,31.88443,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3006,31.88443,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3098,31.88444,103.73919,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3190,31.88444,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3283,31.88445,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3375,31.88446,103.73918,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3467,31.88446,103.73917,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3559,31.88447,103.73917,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3651,31.88447,103.73916,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3743,31.88447,103.73915,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3835,31.88448,103.73914,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3928,31.88448,103.73913,#N/A,#N/A,#N/A,#N/A,,,
4230132757,3991,31.88448,103.73912,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4113,31.88448,103.73911,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4211,31.88448,103.7391,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4306,31.88448,103.73908,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4400,31.88448,103.73906,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4494,31.88448,103.73902,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4587,31.88447,103.73897,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4680,31.88446,103.73892,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4773,31.88444,103.73886,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4865,31.88442,103.73881,#N/A,#N/A,#N/A,#N/A,,,
4230132757,4959,31.8844,103.73875,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5051,31.88439,103.7387,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5144,31.88437,103.73865,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5238,31.88434,103.73858,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5329,31.88432,103.73852,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5422,31.88429,103.73846,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5514,31.88426,103.73839,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5606,31.88424,103.73833,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5698,31.88421,103.73828,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5791,31.88418,103.73822,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5884,31.88416,103.73817,#N/A,#N/A,#N/A,#N/A,,,
4230132757,5977,31.88413,103.73811,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6071,31.8841,103.73806,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6163,31.88408,103.73801,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6255,31.88405,103.73797,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6349,31.88403,103.73793,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6444,31.88401,103.73791,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6537,31.88399,103.73788,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6631,31.88397,103.73786,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6724,31.88396,103.73783,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6819,31.88394,103.73781,#N/A,#N/A,#N/A,#N/A,,,
4230132757,6913,31.88393,103.73779,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7007,31.88392,103.73777,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7102,31.88391,103.73776,#N/A,#N/A,#N/A,#N/A,,,
4230132757,7197,31.88389,103.73774,#N/A,#N/A,#N/A,#N/A,,,
