API#,Well Name,County,Operator,Formation,Well Status,TVD (ft),MD (FT),Spud Date,Date of First Production,Last Producing Month,Lateral Length (ft),MBO (first 36 mo.),MMCF (first 36 mo.),MBW (first 36 mo.),MBO,MMcf,MBW,BO/ft,GOR,WOR,Qi_oil,De_oil,b-factor_oil,Qi_gas,De_gas,b-factor_gas,Qi_water,De_water,b-factor_water
4230134090,LINK VJ RANCH 26-23 E 5H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A UPPER,PRODUCING,"11,172","18,661",8/20/2018,2/1/2019,11/1/2022,"7,240",325,"1,305","3,598",651,"3,748","4,054",90,"5,755",6.22,"50,406",100,1.1,"97,371",73,1.1,"193,911",53,0.0
4230134097,ALLEN 55-2-44 LOV UNIT 2H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"10,905","17,850",10/14/2018,12/1/2018,10/1/2022,"6,559",193,956,"1,645",623,"3,052","2,822",95,"4,899",4.53,490,65,1.1,"1,900",55,1.1,"3,317",96,1.1
4230134244,SEVENGILLS 55-2-11 LOV 3H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,409","16,347",5/17/2019,8/1/2019,10/1/2022,"4,819",97,238,507,196,358,838,41,"1,827",4.28,320,93,1.0,900,99,0.9,"1,195",98,1.1
4230132962,MAGNOLIA 55-2-1 UNIT 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,518","21,470",10/8/2016,3/1/2017,11/1/2022,"9,110",733,"2,050","2,279","2,359","7,343","3,405",259,"3,113",1.44,"1,200",43,1.0,"2,900",35,1.1,"4,500",99,1.1
4230134968,VJ RANCH LINK 35-38 A 711H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A UPPER,PRODUCING,"11,285","21,428",3/16/2020,3/1/2021,11/1/2022,"10,036",,,,739,"3,605","9,597",74,"4,877",12.98,"44,403",98,1.1,"167,513",94,1.1,"202,299",62,1.1
4230134002,VJ RANCH-LINK 55-2-34 LOV 1H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,183","16,625",10/9/2018,12/1/2018,10/1/2022,"4,946",164,733,897,406,"1,774","1,224",82,"4,369",3.01,550,90,1.1,"2,000",85,1.1,837,95,1.1
4230134247,SEVENGILLS 55-2-11 LOV 1H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,421","16,483",5/1/2019,8/1/2019,10/1/2022,"5,008",121,434,612,235,974,"1,025",47,"4,145",4.36,410,95,1.0,"1,200",90,1.1,"2,426",99,1.1
4230132964,AMARILLO BY MORNING 54-T2-42 1H,LOVING,BPX OPERATING COMPANY,WOLFCAMP A LOWER,PRODUCING,"11,401","16,515",9/18/2016,1/1/2017,11/1/2022,"4,848",89,430,"1,187",172,996,"1,773",35,"5,791",10.31,320,90,0.9,"1,600",90,1.0,"5,300",99,1.1
4230134087,LINK VJ RANCH 26-23 B 2H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A UPPER,PRODUCING,"11,135","18,566",8/13/2018,2/1/2019,11/1/2022,"7,183",175,600,"1,880",539,"2,686","2,563",75,"4,983",4.75,"13,003",66,1.1,"42,796",40,1.1,"193,911",82,1.1
4230134593,LINK VJ RANCH 24-13 F 6H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A UPPER,PRODUCING,"11,347","21,600",9/9/2019,1/1/2020,11/1/2022,"9,966",,,,"1,324","5,058","6,371",133,"3,820",4.81,"40,578",84,1.1,"131,415",77,1.1,"188,344",89,1.1
4230132271,REED TRUST 55-1-46 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,326","15,975",9/3/2014,1/1/2015,11/1/2022,"3,491",231,687,986,762,"2,511","1,384",218,"3,295",1.82,520,60,1.1,"1,500",80,1.4,"3,000",99,1.1
4230132110,SLACKBOX 54-2-32 LOV UNIT 1H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,701","16,286",2/24/2014,6/1/2014,9/1/2022,"4,051",121,904,"1,310",313,"2,302","2,187",77,"7,355",6.99,240,70,1.1,"1,800",70,1.1,"5,000",99,1.1
4230132656,BIRDIE-BELL 54-2-18 LOV 2H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A UPPER,PRODUCING,"11,479","16,406",10/21/2015,2/1/2016,11/1/2022,"4,364",200,582,"1,695",503,"1,284","1,793",115,"2,551",3.56,"17,315",83,1.1,"57,755",90,1.1,"184,035",63,0.0
4230133635,LINK VJ RANCH 14-23 H 8H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A UPPER,PRODUCING,"11,394","19,214",3/14/2018,6/1/2018,11/1/2022,"7,643",270,949,"3,348",582,"2,259","3,758",76,"3,883",6.46,"14,247",75,1.1,"54,599",71,1.1,"193,911",54,1.1
4230133803,TIGER 55-2-12 LOV 5H,LOVING,PDEH LLC,WOLFCAMP A UPPER,PRODUCING,"11,253","16,450",1/11/2019,5/1/2019,10/1/2022,"4,935",150,468,735,282,968,"1,330",57,"3,437",4.72,"21,819",100,1.1,"57,151",98,1.1,"117,333",100,1.1
4230134285,SNODGRASS 55-2-40 UNIT SW 2H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"10,987","18,938",6/2/2019,10/1/2019,10/1/2022,"7,810",,,,452,"1,585","2,921",58,"3,507",6.46,500,90,1.2,"2,000",90,1.1,"5,658",99,1.1
4230132835,BULLHEAD STATE 55-1-45 UNIT B 4H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,226","19,670",2/25/2016,4/1/2016,11/1/2022,"7,486",339,"1,021",670,799,"2,135","1,562",107,"2,672",1.95,700,80,1.1,"2,400",80,1.0,"1,490",85,1.1
4230133097,LINK-VJ RANCH 55-2-10 LOV UNIT 1H,LOVING,PDEH LLC,WOLFCAMP A UPPER,PRODUCING,"11,174","16,370",12/28/2016,10/1/2017,10/1/2022,"4,647",276,"1,085","1,218",735,"2,752","1,385",158,"3,742",1.88,"18,095",67,1.1,"54,622",71,1.1,"101,170",51,1.1
4230132578,SANDBAR 54-2-27 LOV 1H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,683","16,270",8/14/2015,11/1/2015,10/1/2022,"3,314",101,282,"1,363",362,"1,085","2,173",109,"2,997",6.00,240,55,1.1,"600,000",45,1.1,"6,000",99,1.1
4230135205,TABASCO CAT 54-43-6 UNIT 12HZ,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,639","21,900",1/5/2021,3/1/2021,11/1/2022,"9,789",,,,868,"2,938","1,209",89,"3,385",1.39,"1,400",95,1.1,"4,200",93,1.1,"4,331",99,1.1
4230134001,LINK-VJ RANCH 55-2-27 LOV 1H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,190","22,075",10/14/2018,12/1/2018,10/1/2022,"10,235",447,"1,523","1,804","1,223","4,133","2,784",119,"3,379",2.28,"1,000",70,1.1,"3,000",65,1.1,"3,904",99,1.1
4230135148,LINK-VJ RANCH 55-2-28 LOV NB 6H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,206","21,555",8/3/2020,2/1/2021,10/1/2022,"10,211",,,,751,"2,426","1,728",74,"3,230",2.30,750,80,1.1,"2,400",80,1.1,"2,121",90,1.1
4230134611,ALLEN 55-2-44 LOV UNIT E 3H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,020","16,655",10/19/2019,1/1/2020,10/1/2022,"4,994",,,,199,933,"2,744",40,"4,688",13.79,400,97,1.0,"1,800",98,1.1,"6,386",99,1.1
4230133891,BULLHEAD STATE 55-1-45 UNIT B 3H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A UPPER,PRODUCING,"11,077","19,150",6/7/2018,11/1/2018,11/1/2022,"7,440",337,"1,186",354,723,"2,751",376,97,"3,803",0.52,"31,443",94,1.1,"94,451",84,1.1,"29,249",64,1.1
4230133000,OLYMPIC 54-2-7 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,681","16,987",10/24/2016,7/1/2017,11/1/2022,"4,861",209,635,"1,139",582,"1,908","2,620",120,"3,278",4.50,680,85,1.1,"2,000",80,1.1,"2,970",90,1.1
4230134089,LINK VJ RANCH 26-23 D 4H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A UPPER,PRODUCING,"11,152","18,710",8/18/2018,2/1/2019,11/1/2022,"7,256",371,"1,433","3,373",725,"3,266","4,184",100,"4,502",5.77,"48,894",100,1.1,"173,647",96,1.1,"188,096",82,1.1
4230134026,STATE PACIFIC 55-T2-8 W105H,LOVING,BPX OPERATING COMPANY,WOLFCAMP A UPPER,PRODUCING,"11,066","21,269",8/23/2018,8/1/2019,11/1/2022,"4,630",221,844,525,440,"1,831","1,358",95,"4,159",3.08,"26,192",98,1.1,"70,727",89,1.1,"46,181",82,1.1
4230134890,VJ RANCH-LINK 55-2-21 LOV SA 2H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,259","21,594",12/13/2019,4/1/2020,10/1/2022,"10,173",,,,630,"1,890",806,62,"3,000",1.28,700,85,1.1,"2,400",85,1.1,"1,482",99,1.1
4230134610,ALLEN 55-2-44 LOV UNIT E 2H,LOVING,PDEH LLC,WOLFCAMP A UPPER,PRODUCING,"10,795","16,425",10/19/2019,1/1/2020,10/1/2022,"4,977",,,,301,"1,153","2,020",60,"3,830",6.71,"13,605",95,1.1,"52,408",96,1.1,"145,197",100,1.1
4230134982,VJ RANCH LINK 35-38 E 712H,LOVING,EOG RESOURCES  INC.,WOLFCAMP A UPPER,PRODUCING,"11,349","21,581",3/18/2020,3/1/2021,11/1/2022,"10,052",,,,621,"3,148","9,910",62,"5,073",15.97,"21,199",86,1.1,"92,987",79,1.1,"190,854",57,1.1
4230132004,SLACK BOX 54-2-28 LOV UNIT 1H,LOVING,PDEH LLC,WOLFCAMP A LOWER,PRODUCING,"11,771","16,130",8/6/2013,2/1/2014,10/1/2022,"4,041",92,291,"2,801",278,770,"7,176",69,"2,770",25.81,180,60,1.1,700,80,1.1,"4,300",60,1.1
4230133617,HERON 54-2-4 UNIT 1H,LOVING,ANADARKO E&P ONSHORE LLC,WOLFCAMP A LOWER,PRODUCING,"11,788","22,248",1/29/2018,4/1/2018,11/1/2022,"9,933",506,"1,468","1,860","1,033","3,288","3,321",104,"3,183",3.21,"1,200",70,0.8,"3,000",60,0.8,"3,617",96,1.1
